Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2014,Aéreo Calafia,0,0,0,0,0,4291,5229,5295,4902,0,4421,7577,31715
2014,Aeromar,35120,36106,44635,43526,45524,48054,49065,43245,37970,47233,46466,44004,520948
2014,Aeroméxico (Aerovías de México),424785,350525,416691,402838,466697,404596,441313,442558,390897,459113,451800,439001,5090814
2014,Aeroméxico Connect (Aerolitoral),544041,522743,591907,536892,552774,514650,603624,620065,546398,594733,574186,572576,6774589
2014,Interjet (ABC Aerolíneas),584459,528206,580837,624212,668312,661780,720341,696793,637236,699059,689076,721091,7811402
2014,Magnicharters (Grupo Aéreo Monterrey),47063,48251,63653,97787,81242,85715,140741,124183,79034,61295,79500,86036,994500
2014,Transportes Aéreos Regionales (TAR),0,0,2222,6436,7535,7565,11279,12790,9978,14393,9897,15063,97158
2014,Vivaaerobus (Aeroenlaces),280642,233864,275463,332642,329854,328870,426898,385320,291581,306346,331498,374276,3897254
2014,Volaris (Concesionaria Vuela Cia de Aviación),625446,482895,561407,619651,631041,628082,829635,714279,532873,615187,667687,757570,7665753
