Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2012,Interjet (ABC Aerolíneas),558803,488097,571861,535131,527747,524167,649329,599881,532175,578348,571997,580080,6717616
2012,Aeroméxico Connect (Aerolitoral),423071,400938,468629,427237,448825,464569,533893,497867,451374,490799,463056,477251,5547509
2012,Aeroméxico (Aerovías de México),407572,417970,469595,402285,450841,429323,438041,412321,368953,418888,433068,399034,5047891
2012,Volaris (Concesionaria Vuela Cia de Aviación),404736,372447,426576,467583,457399,497796,612805,546617,442913,451848,481858,590129,5752707
2012,Vivaaerobus (Aeroenlaces),223444,206603,232081,259984,288537,295998,389238,358152,294857,307189,306653,356627,3519363
2012,Magnicharters (Grupo Aéreo Monterrey),49224,34221,56397,96338,83436,82716,132226,125590,64203,62282,71260,83669,941562
2012,Aeromar,39748,41181,49952,44225,47364,44561,43462,46579,45972,52790,55599,46265,557698
