Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2018,Aéreo Calafia,24734,22962,29029,25839,26212,26323,32903,27838,21054,23163,24593,25513,310163
2018,Aeromar,59653,58017,64479,58039,53374,45088,54781,61611,56351,66199,66338,62654,706584
2018,Aeroméxico (Aerovías de México),434943,403562,442790,462492,482920,457078,520891,448978,421334,459758,452679,461042,5448467
2018,Aeroméxico Connect (Aerolitoral),662976,607070,685629,692596,682817,710526,773881,744528,666378,683384,656138,690451,8256374
2018,Interjet (ABC Aerolíneas),780337,703483,873147,881220,891111,837443,922596,888851,761942,873045,895024,856360,10164559
2018,Magnicharters (Grupo Aéreo Monterrey),55290,39995,50611,73805,84998,75066,110733,104695,61896,65741,70291,78800,871921
2018,Transportes Aéreos Regionales (TAR),47772,44679,50043,49795,49481,48032,58466,54110,46860,52203,52654,50423,604518
2018,Vivaaerobus (Aeroenlaces),639443,554875,706824,711760,741061,746330,921247,897879,743064,778889,809008,862082,9112462
2018,Volaris (Concesionaria Vuela Cia de Aviación),1069272,988311,1146259,1141275,1151153,1141341,1294108,1188354,1122015,1243697,1260619,1313443,14059847
