Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2022,Volaris (Concesionaria Vuela Cia de Aviación),1704541,1626280,1918861,2020386,1950855,1750499,2139429,2088715,1934097,2090696,2023676,2191661,23439696
2022,Vivaaerobus (Aeroenlaces),1173978,1012667,1303207,1420556,1474595,1464804,1644599,1602163,1380695,1563987,1632820,1695678,17369749
2022,Aeroméxico (Aerovías de México),476869,499376,729295,797826,911120,919898,914055,919122,891597,976889,997118,995796,10028961
2022,Aeroméxico Connect (Aerolitoral),350478,356401,432162,393801,411957,415644,478743,475479,398190,455200,472858,473619,5114532
2022,Aeromar,31540,25622,30407,37047,32917,28062,35343,34751,26885,28108,28029,28548,367259
2022,Magnicharters (Grupo Aéreo Monterrey),19731,14632,20444,30427,36048,38612,52783,41574,24539,25003,26190,31832,361815
2022,Transportes Aéreos Regionales (TAR),22335,22836,30333,31976,32934,31692,35829,28457,23409,26165,25324,32706,343996
2022,Aéreo Calafia,10351,10775,13206,12580,14051,11528,12900,12206,8563,11560,10809,8855,137384
