Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2010,Aeroméxico Connect (Aerolitoral),327710,313865,378901,346024,366800,344486,388805,418806,398633,441747,431834,423387,4580998
2010,Click (Aerovías Caribe),304636,279145,331192,309691,336228,324482,377291,288805,0,0,0,0,2551470
2010,Aeroméxico (Aerovías de México),264762,266289,305523,282480,306946,304378,342579,376108,392051,450698,458394,439580,4189788
2010,Interjet (ABC Aerolíneas),259100,215165,278355,278877,283742,262167,348208,362641,369107,392864,432369,521509,4004104
2010,Volaris (Concesionaria Vuela Cia de Aviación),277442,216677,272415,264258,291862,282727,342644,350013,313730,327752,309645,373214,3622379
2010,Mexicana (Mexicana de Aviación),185068,159076,208963,195212,192669,190260,220005,125490,0,0,0,0,1476743
2010,Vivaaerobus (Aeroenlaces),125264,114937,169320,162703,186067,183169,258099,195782,146119,203204,194341,228103,2167108
2010,Mexicana Link ,59579,65633,75626,63040,69939,63492,68897,50472,0,0,0,0,516678
2010,Aeromar,40551,41925,52424,49412,54238,53542,51317,50388,39984,48520,46471,41057,569829
2010,Magnicharters (Grupo Aéreo Monterrey),35121,28739,45647,58975,62072,28571,104958,102216,61830,56047,65316,69298,718790
2010,Aeroméxico Travel,0,0,0,0,0,0,0,0,17458,37960,34155,7219,96792
