Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2017,Aéreo Calafia,14324,12042,13311,17297,15515,14853,32759,28912,20228,24015,26102,28202,247560
2017,Aeromar,44926,48486,56749,58404,60557,54350,58420,56142,43739,58022,63597,62607,665999
2017,Aeroméxico (Aerovías de México),446306,416371,473301,451206,501983,500516,483653,443946,384570,446550,429965,425034,5403401
2017,Aeroméxico Connect (Aerolitoral),600210,555301,644043,619723,624144,638441,729488,714944,601628,689708,652796,661404,7731830
2017,Interjet (ABC Aerolíneas),716887,666189,776718,785529,833879,831042,919215,882633,718766,823682,810013,839292,9603845
2017,Magnicharters (Grupo Aéreo Monterrey),53645,41746,50705,85523,79118,80728,126761,106830,64241,65541,73510,80133,908481
2017,Transportes Aéreos Regionales (TAR),48066,32968,38258,47165,47523,44922,58499,52303,43496,49643,54630,56651,574124
2017,Vivaaerobus (Aeroenlaces),533459,431035,542394,622233,624453,676930,803799,770673,598539,655225,678323,715218,7652281
2017,Volaris (Concesionaria Vuela Cia de Aviación),1100538,895521,999914,1036394,1029366,991883,1146973,1062257,941678,1014750,1086410,1127584,12433268
