Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2021,Volaris (Concesionaria Vuela Cia de Aviación),1094457,866077,1210558,1489022,1600569,1572159,1708691,1683995,1552574,1716009,1852007,1968942,18315060
2021,Vivaaerobus (Aeroenlaces),702073,566659,933260,950992,1070110,1103761,1309097,1134685,1005707,1188600,1244013,1365606,12574563
2021,Aeroméxico (Aerovías de México),454768,404721,530167,518552,541035,536646,660329,592919,557697,682346,698752,752288,6930220
2021,Aeroméxico Connect (Aerolitoral),387635,329296,406149,418267,493698,496784,536164,471986,390269,451516,430170,468730,5280664
2021,Magnicharters (Grupo Aéreo Monterrey),19413,13877,25539,37963,45166,54554,64029,35479,24490,28313,32507,41564,422894
2021,Aeromar,23787,20831,32136,30496,31125,31793,40991,36507,33382,36263,39104,43799,400214
2021,Transportes Aéreos Regionales (TAR),13791,12256,18739,19899,20712,23167,30912,26034,25901,31649,29832,32426,285318
2021,Aéreo Calafia,7181,8230,13443,13432,16431,15389,15216,12792,12872,14115,11837,12597,153535
