Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2007,Aeroméxico (Aerovías de México),437019,429089,504675,463537,493425,440063,497667,476837,414355,457200,451213,423727,5488807
2007,Mexicana (Mexicana de Aviación),311402,293175,398594,407001,416603,390246,438272,390210,348846,402948,405342,371666,4574305
2007,Aviacsa (Consorcio Aviaxsa),284773,254855,304141,281781,291193,246021,299739,273890,238450,239629,217452,275620,3207544
2007,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,147512,152223,190500,181118,196781,197719,213204,216174,197335,216614,210190,222129,2341499
2007,Vuela,93086,100053,140799,169401,164193,191800,241599,227747,176793,186897,218232,266342,2176942
2007,Aerovías Caribe S.A  de C.V,115818,127596,164833,179377,177521,171550,206816,184565,155315,181902,185152,170906,2021351
2007,ABC Aerolineas,110661,93617,129954,137931,145593,154694,229444,200726,149043,165072,190484,221982,1929201
2007,Aerocalifornia,77654,85355,102630,112576,113646,117324,139975,132930,113046,126044,108914,108402,1338496
2007,Aeroenlaces,59961,53302,86742,84777,115052,116730,156818,130740,85980,95419,109521,121057,1216099
2007,Avolar,71119,62946,70572,85952,77499,78599,93829,93972,71374,81166,74288,89569,950885
2007,Aerolineas Mesoamericanas,47740,40948,61484,60368,66586,70606,91458,89383,73301,63183,105431,112549,883037
2007,Grupo Aereo  Monterrey,53613,47538,50777,63376,51595,62000,75907,68831,51388,43814,46282,41001,656122
2007,Aeromar,39808,36973,47289,42984,49604,46987,47385,43564,38783,42675,36545,30507,503104
2007,Lineas Aereas Azteca,70803,42770,0,0,0,0,0,0,0,0,0,0,113573
