Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
1994,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",139737,101743,153779,188732,246058,161413,245228,243834,234670,269683,192079,222770,2399726
1994,Transportes Aéreos  Gane S.A  de C.V,0,0,0,0,0,600,392,404,237,425,242,476,2776
1995,Aero Sudpacifico S.A.,2481,2261,3282,3676,1620,1393,2147,1867,1516,1563,2670,1970,26446
1995,Aerocalifornia,64320,55790,66013,72375,77118,64891,72024,78891,63312,78242,71895,86778,851649
1995,Aerocozumel,16606,15879,16895,14475,11774,11301,11981,12297,9662,7743,10761,11228,150602
1995,Aeroejecutivo S.A de C.V ,9658,12548,13064,13480,16625,15075,25355,33432,7727,10262,13726,20771,191723
1995,Aerolineas Internacionales,10888,8733,9513,11968,13549,15555,16987,18338,9789,12104,11807,13830,153061
1995,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,33933,31990,37836,36762,36862,37854,36339,42876,35607,40973,39715,39662,450409
1995,Aeromar,20819,19117,22943,21366,23679,24003,25419,28293,26626,31010,31291,27178,301744
1995,Aerolineas Morelos S.A (Aeromorelos),2271,2001,2404,1794,1213,1285,2091,2664,1166,1782,2331,2367,23369
1995,Aerovías Caribe S.A  de C.V,30872,24304,27108,27001,24221,20465,35576,39575,31357,37152,26401,29188,353220
1995,Aeroméxico (Aerovías de México),479277,412986,472241,453797,456229,434664,533143,550062,432259,460630,434742,459777,5579807
1995,Aviación del Noroeste S.A de C.V,8269,4172,5060,4405,3732,0,2984,2597,2434,2878,2682,3442,42655
1995,Aviacsa (Consorcio Aviaxsa),48733,43456,42808,38842,35356,37467,47550,51746,35691,37672,37035,41955,498311
1995,Lineas Aereas Allegro,4362,1511,950,2224,1487,1708,6690,6984,2686,2559,3463,5736,40360
1995,Mexicana (Mexicana de Aviación),368023,326111,382507,390021,381600,362131,463004,475555,352372,374882,366017,399419,4641642
1995,"Pal Aerolineas, S.A. de C.V.",2122,0,0,0,0,0,0,0,0,0,0,0,2122
1995,Servicios Aereos Rutas Oriente  (S.A.R.O),42050,0,0,0,0,0,0,0,0,0,0,0,42050
1995,Servicio Aéreo Leo López S.A. de C.V,303,0,0,0,0,0,0,0,0,0,0,0,303
1995,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",162657,131055,151806,148520,104813,96931,152525,158264,86409,85263,89096,139932,1507271
1995,Transportes Aéreos  Gane S.A  de C.V,343,185,0,0,0,0,0,0,0,0,0,0,528
1996,Aero Cuahonte S.A de C.V,0,0,0,0,0,0,0,0,0,0,0,3632,3632
1996,Aero Sudpacifico S.A.,1491,1195,1415,351,1641,1475,1973,1766,1267,1590,0,0,14164
1996,Aerocalifornia,75875,63944,75422,77792,76640,72354,95230,97243,64923,81364,92006,92442,965235
1996,Aerocozumel,11864,12016,14408,9844,11805,12325,12187,12139,8053,10097,12288,13097,140123
1996,Aeroejecutivo S.A de C.V ,15919,14131,15635,17323,27645,15667,23920,23942,21389,22544,27058,22870,248043
1996,Aerolineas Internacionales,12460,12539,13294,13758,13794,13575,16198,16309,13362,13631,20541,19819,179280
1996,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,37810,39737,41075,40662,47214,45728,50932,49215,47355,53513,51437,51627,556305
1996,Aeromar,34561,35708,45448,26061,33462,25192,26527,25812,25969,31008,30541,26541,366830
1996,Aerolineas Morelos S.A (Aeromorelos),2391,2268,2221,2094,1678,1280,1943,2355,1230,1413,2195,1585,22653
1996,Aerovías Caribe S.A  de C.V,29103,28508,32043,23308,33748,31881,41008,41877,32307,35008,36250,36497,401538
1996,Aeroméxico (Aerovías de México),428363,416970,445545,423458,437315,421147,504487,503533,420295,462729,471488,473810,5409140
1996,Aviación del Noroeste S.A de C.V,2924,2025,2353,2031,2340,441,0,0,0,0,0,0,12114
1996,Aviacsa (Consorcio Aviaxsa),34705,30150,33986,38198,50594,30435,43355,41042,29483,38957,49381,50217,470503
1996,Lineas Aereas Allegro,4102,3292,3683,4069,4556,2543,8587,7892,7892,3396,5272,3396,58680
1996,Mexicana (Mexicana de Aviación),350997,324434,361629,339770,344277,330417,407649,417139,319712,345097,366305,386930,4294356
1996,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",111079,76384,87118,89717,77908,68841,98464,107682,74899,69522,76909,118121,1056644
1997,Aero Cuahonte S.A de C.V,3820,3187,3618,3714,3931,3335,4068,4096,3433,3291,3804,4269,44566
1997,Aerocalifornia,81420,70188,88060,84361,100970,91322,109464,115369,87607,98641,104173,120906,1152481
1997,Aerocozumel,12894,12967,14733,13262,11873,10858,11581,12542,6869,9039,8426,8015,133059
1997,Aeroejecutivo S.A de C.V ,15997,14330,20381,19518,21592,16006,23507,24772,19406,24456,23524,19636,243125
1997,Aerolineas Internacionales,17691,14551,19288,18396,23134,20056,22620,25434,16349,19542,12616,21183,230860
1997,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,51889,51626,52076,57136,57453,57767,61543,58525,49907,56727,54259,53648,662556
1997,Aeromar,27107,27210,28688,29725,31273,31477,31837,31540,29526,33287,32445,29856,363971
1997,Aerolineas Morelos S.A (Aeromorelos),1394,989,1253,625,611,0,0,0,0,0,0,0,4872
1997,Aerovías Caribe S.A  de C.V,37821,34590,35592,32026,34983,28152,45766,51222,28906,42613,45082,47113,463866
1997,Aeroméxico (Aerovías de México),438395,416432,466796,476918,484032,468826,531359,547210,462957,532649,501156,493716,5820446
1997,Aviacsa (Consorcio Aviaxsa),43831,39505,48905,42081,41865,33613,42031,44962,31025,35246,42459,53586,499109
1997,Lineas Aereas Allegro,3658,2167,3960,2614,3132,2315,5063,5708,1249,2483,3162,3053,38564
1997,Mexicana (Mexicana de Aviación),354031,338537,378760,378910,384286,372417,452007,465918,351447,375993,403900,399939,4656145
1997,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",93199,63165,82170,77117,83956,69030,102208,123348,80914,95489,106524,137153,1114273
1998,Aero Cuahonte S.A de C.V,3535,3157,3347,3686,3735,2837,3731,3378,2261,3106,3181,3746,39700
1998,Aerocalifornia,119668,111125,133551,147865,138131,127773,161836,161770,117205,128611,127119,146401,1621055
1998,Aerocozumel,10550,11415,9751,9264,10876,9917,9891,11064,6902,8831,10401,11286,120148
1998,Aeroejecutivo S.A de C.V ,12245,10335,14475,7817,9504,7149,7220,7552,5656,7274,5838,2922,97987
1998,Aerolineas Internacionales,21641,22008,26616,31107,30974,22035,36323,31427,16497,23404,29021,31827,322880
1998,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,55131,52566,61266,59579,61947,55818,60767,59689,55076,60320,55639,54942,692740
1998,Aeromar,27599,29572,34725,32550,33279,32295,33300,32376,30693,33937,32444,28477,381247
1998,Aerovías Caribe S.A  de C.V,37987,39763,45086,43414,38809,33653,69370,53697,19135,23029,25491,22959,452393
1998,Aeroméxico (Aerovías de México),475298,457563,526787,498494,522194,490563,581193,582128,481938,523111,512870,517139,6169278
1998,Aviacsa (Consorcio Aviaxsa),52470,49085,64981,66544,76308,57599,83277,87807,65529,72533,76381,96732,849246
1998,Lineas Aereas Allegro,4257,2407,3435,7462,6383,2894,5440,6488,8036,7409,8610,11547,74368
1998,Mexicana (Mexicana de Aviación),374921,361130,394723,391851,377978,374755,442798,446025,333358,387727,399044,391281,4675591
1998,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",119629,93553,109755,110563,118268,110490,144637,166218,118790,139734,143778,174224,1549639
1999,Aero Cuahonte S.A de C.V,3374,3313,3646,3617,3640,3419,3356,2842,2701,3174,3069,3282,39433
1999,Aerocalifornia,133929,121332,138122,132761,132663,130870,153267,147499,114866,134936,118513,142932,1601690
1999,Aerocozumel,13658,13917,14710,15949,15132,13236,14141,13062,8698,10560,13112,9969,156144
1999,Aeroejecutivo S.A de C.V ,3050,3220,3428,3559,4040,3240,3684,3783,3544,4655,3762,2688,42653
1999,Aerolineas Internacionales,28183,20789,24715,23515,26998,32043,20475,35184,33809,11547,33698,38361,329317
1999,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,53594,53431,60582,55014,60271,62534,68017,67603,59059,64712,62209,62272,729298
1999,Aeromar,27160,27947,32681,29641,32573,33788,34488,28884,33777,43615,37819,37227,399600
1999,Aerovías Caribe S.A  de C.V,37841,41873,48899,47409,34426,42430,51774,56141,38318,44021,42929,38941,525002
1999,Aeroméxico (Aerovías de México),516294,509348,565925,544301,566582,553259,572444,639961,496566,566257,573425,585281,6689643
1999,Aviacsa (Consorcio Aviaxsa),80516,77003,90273,85682,108168,84815,107603,105362,76584,91356,90898,104788,1103048
1999,Lineas Aereas Allegro,11547,9236,9630,11025,5141,9071,14984,15504,10445,9250,10006,10511,126350
1999,Mexicana (Mexicana de Aviación),364763,353696,402597,381536,388747,379462,402962,447364,350755,392035,361167,423032,4648116
1999,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",170793,142337,160448,168614,170601,163032,222319,230284,157275,175904,96262,0,1857869
2000,Aeroméxico (Aerovías de México),569834,564413,629393,573657,613314,582518,674770,675337,577813,611237,619420,599263,7290969
2000,Mexicana (Mexicana de Aviación),417899,409033,463927,414059,461341,444833,504703,484081,397785,431677,446832,431445,5307615
2000,Aerocalifornia,135320,117694,129823,119110,120550,105661,121408,121556,94144,104904,116253,131247,1417670
2000,Aviacsa (Consorcio Aviaxsa),93523,85159,99417,104974,121242,108582,141440,143899,111769,118499,120857,134192,1383553
2000,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,55678,53515,59177,54849,62174,59692,59642,69458,61772,67673,65337,63206,732173
2000,Aeromar,36264,39389,46771,42131,44732,45579,40890,42824,40853,42489,42154,33175,497251
2000,Aerovías Caribe S.A  de C.V,38155,37818,42351,41471,38199,32506,32130,31778,26787,29122,37037,34143,421497
2000,Aerolineas Internacionales,32068,28761,32604,29043,32604,23920,34384,36796,37464,23920,41368,46838,399770
2000,Lineas Aereas Allegro,11398,7088,7894,9893,11529,11823,16446,14829,10863,10422,11699,23762,147646
2000,Aerocozumel,9700,10952,12889,13267,10038,9764,10137,9679,6300,5963,6824,8283,113796
2000,Aero Cuahonte S.A de C.V,2986,2733,3216,3072,3199,2722,2828,2906,2388,2769,2615,2691,34125
2000,Aeroejecutivo S.A de C.V ,2911,3012,2988,2073,2119,2281,1397,0,0,0,0,0,16781
2001,Aero Cuahonte S.A de C.V,2769,2501,2749,2434,2318,2246,2193,2198,1617,1697,1486,1379,25587
2001,Aerocalifornia,122553,115697,124848,127632,115639,131957,156224,144252,108663,105270,97378,112462,1462575
2001,Aerocozumel,7793,7912,8951,8982,6460,6785,7415,6821,3712,4837,5769,6160,81597
2001,Aerolineas Internacionales,38511,37111,33298,33993,31083,34315,39486,33415,24053,24750,33698,37129,400842
2001,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,68799,62657,70893,66889,65337,68386,76122,75382,56891,62630,60111,56696,790793
2001,Aeromar,33050,32209,36049,32949,37651,35827,36099,37450,34876,40227,37582,31595,425564
2001,Aerovías Caribe S.A  de C.V,34171,33160,41759,37760,35231,30695,38265,39466,34015,27420,27658,34253,413853
2001,Aeroméxico (Aerovías de México),578262,549428,626534,601970,612266,548515,683125,666211,518815,530814,536062,542257,6994259
2001,Aviacsa (Consorcio Aviaxsa),129031,119552,133665,133800,135437,122104,156754,145087,96674,97453,107992,140370,1517919
2001,Grupo  Aereo Monterrey,0,15862,21515,36084,27862,35555,48891,39556,20382,19145,24647,37006,326505
2001,Lineas Aereas Allegro,21774,17886,25822,27931,26389,24098,30600,39401,31416,29378,22727,42540,339962
2001,Lineas Aereas Azteca,0,0,0,0,0,6134,17321,15807,8116,8560,9052,22265,87255
2001,Mexicana (Mexicana de Aviación),410016,402204,460606,421960,435640,434961,508379,485625,353522,374247,394746,374865,5056771
2002,Aero Cuahonte S.A de C.V,1218,1201,1242,1178,1077,944,894,725,556,726,669,726,11156
2002,Aerocalifornia,110884,96344,133717,116436,115571,118639,150058,133034,101564,103891,110857,130069,1421064
2002,Aerocozumel,5792,4625,6432,6193,4924,4588,4098,3960,3030,2916,3892,4284,54734
2002,Aerolineas Internacionales,36890,35608,39486,35608,24053,30504,48264,55509,39527,31620,32885,40123,450077
2002,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,57553,54513,60817,64750,67743,61602,70813,72655,63033,67589,62487,59431,762986
2002,Aeromar,31418,32102,32975,37448,38627,35572,37571,38360,36088,40246,39203,35100,434710
2002,Aerovías Caribe S.A  de C.V,32135,31736,37328,36076,36422,33763,52069,55875,35592,39931,43157,52447,486531
2002,Aeroméxico (Aerovías de México),510714,481716,554625,559013,565017,530520,632128,625038,510599,555521,537786,557724,6620401
2002,Aviacsa (Consorcio Aviaxsa),129651,115461,155130,132646,136808,130789,170076,160629,113967,110996,119852,160257,1636262
2002,Grupo  Aereo Monterrey,22730,19901,35005,27976,31870,36201,43489,36964,24775,16339,19773,32284,347307
2002,Lineas Aereas Allegro,32232,17829,28365,27772,51294,21770,30310,28857,23481,22489,24804,39123,348326
2002,Lineas Aereas Azteca,25533,15204,23389,21547,21116,22026,35333,39955,24570,21901,26440,45497,322511
2002,Mexicana (Mexicana de Aviación),347275,338426,394668,380662,389555,373795,480677,461546,357281,383621,391203,396811,4695520
2003,Aero Cuahonte S.A de C.V,645,497,609,526,485,368,372,347,309,349,321,337,5165
2003,Aerocalifornia,128695,67272,30775,128537,136040,140008,39016,153175,25617,147435,150526,155587,1302683
2003,Aerocozumel,3737,3284,3683,3875,2393,2393,0,0,0,0,0,0,19365
2003,Aerolineas Internacionales,59451,52056,49124,52681,40950,0,0,0,0,0,0,0,254262
2003,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,63377,59601,68909,68496,72712,71817,79464,76147,68779,74861,71553,28847,804563
2003,Aeromar,45151,41864,47770,45124,52781,50129,50272,51023,50543,55898,52857,46335,589747
2003,Aerovías Caribe S.A  de C.V,43733,43682,53637,53973,27303,54816,67954,56982,44836,45036,53458,63103,608513
2003,Aeroméxico (Aerovías de México),496748,463235,528515,500786,557334,554130,615864,607205,479304,514499,525477,535098,6378195
2003,Aviacsa (Consorcio Aviaxsa),153322,147251,162822,173940,174265,171935,205021,189219,152028,182250,203258,238487,2153798
2003,Grupo  Aereo Monterrey,20174,21373,36788,32334,34093,43409,52368,58022,30264,29116,35442,37663,431046
2003,Lineas Aereas Allegro,27122,18409,16657,32787,31441,26797,41811,38303,27413,29125,34304,41637,365806
2003,Lineas Aereas Azteca,37607,34572,40104,41472,35854,40891,63228,58498,40229,52711,53094,57101,555361
2003,Mexicana (Mexicana de Aviación),355538,349962,417168,401810,431702,422219,491446,478697,369944,393154,418047,412649,4942336
2004,Aero Cuahonte S.A de C.V,352,278,333,172,204,279,293,265,0,0,0,0,2176
2004,Aerocalifornia,152863,151214,153391,144978,136833,139098,145462,137481,122379,140736,144573,150830,1719838
2004,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,65789,69776,79396,76147,79123,82487,96456,97416,83367,88387,64183,79780,962307
2004,Aeromar,39421,32288,49953,44881,48734,48501,48876,47711,44041,48760,48954,44109,546229
2004,Aerovías Caribe S.A  de C.V,49401,50037,57687,62287,63216,59895,76755,72393,53473,56508,61732,61016,724400
2004,Aeroméxico (Aerovías de México),500039,495638,571246,562406,573858,551455,644368,612501,506670,549703,532603,550878,6651365
2004,Aviacsa (Consorcio Aviaxsa),206875,210030,234414,235600,257031,216166,281631,248978,193024,225249,245716,257517,2812231
2004,Grupo  Aereo Monterrey,38300,33992,34734,59547,55694,66613,92892,70083,42960,35826,38207,45978,614826
2004,Lineas Aereas Azteca,54354,51408,55664,59730,52139,48913,70773,62500,43176,59236,60456,72861,691210
2004,Mexicana (Mexicana de Aviación),363658,364417,407790,417506,416151,407675,483379,443669,355950,398747,388508,359240,4806690
2005,ABC Aerolineas,0,0,0,0,0,0,0,0,0,0,0,38815,38815
2005,Aerocalifornia,152095,134880,155956,154014,156230,157572,189676,176352,137125,128423,113782,108018,1764123
2005,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,74904,72773,79600,80197,81074,78196,78774,75076,68599,68668,69033,65811,892705
2005,Aeromar,37799,39197,40778,46573,50177,49907,50949,50565,48798,52467,55717,50592,573519
2005,Aerovías Caribe S.A  de C.V,53129,53141,61854,65561,68011,68456,90562,82667,78061,86674,95634,115950,919700
2005,Aeroméxico (Aerovías de México),519538,506647,546644,526608,546077,544255,590813,577708,485571,523274,532094,525484,6424713
2005,Aviacsa (Consorcio Aviaxsa),221625,226672,299896,277207,285714,264373,304563,250369,214869,237100,250359,287685,3120432
2005,Avolar,0,0,0,0,0,0,0,0,1478,5185,6573,9134,22370
2005,Grupo Aereo  Monterrey,39715,28277,50223,42135,52629,59089,75207,56807,39849,35860,32436,36811,549038
2005,Lineas Aereas Azteca,65117,48785,65589,62323,83064,83331,108962,101223,82841,74389,69585,90790,935999
2005,Mexicana (Mexicana de Aviación),350800,363151,391925,366925,400854,392680,414861,405641,367513,379515,380471,372868,4587204
2006,ABC Aerolíneas,48938,47888,75009,84467,91308,109805,126065,145885,119757,128944,129427,145640,1253133
2006,Aerocalifornia,121445,118227,0,0,0,0,0,27063,55528,75033,86949,87445,571690
2006,Aeroenlaces,0,0,0,0,0,0,0,0,0,0,1942,65247,67189
2006,Aerolineas Mesoamericanas,0,0,0,0,0,3173,17696,19175,27187,43165,43216,54752,208364
2006,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,66590,61484,71174,68809,141142,133874,133466,126820,108353,108079,105421,101718,1226930
2006,Aeromar,45676,48445,57699,54343,61460,56503,53219,56322,54641,57615,54116,41310,641349
2006,Aerovías Caribe S.A  de C.V,106191,104006,129310,117027,109756,115629,138486,119387,101363,124188,125217,119799,1410359
2006,Aeroméxico (Aerovías de México),471756,465120,572890,568972,570452,509724,539037,528201,432637,467137,481141,461322,6068389
2006,Aviacsa (Consorcio Aviaxsa),247472,212075,243164,233573,253034,232588,290819,272838,231847,282411,292374,312041,3104236
2006,Avolar,8894,8980,10481,23726,23975,32719,52188,46420,47973,54754,49905,67479,427494
2006,Grupo  Aereo Monterrey,37951,28221,37683,61750,47903,56656,75907,74131,46234,48320,46282,63754,624792
2006,Lineas Aereas Azteca,85903,79288,91207,106658,103648,92061,102420,99163,80167,84064,81468,85884,1091931
2006,Mexicana (Mexicana de Aviación),346012,358553,432922,390282,406467,388097,436411,409072,334730,353464,369205,347524,4572739
2006,Vuela,0,0,25212,66982,63461,81340,123171,112122,99411,110374,103351,110689,896113
2007,Aeroméxico (Aerovías de México),437019,429089,504675,463537,493425,440063,497667,476837,414355,457200,451213,423727,5488807
2007,Mexicana (Mexicana de Aviación),311402,293175,398594,407001,416603,390246,438272,390210,348846,402948,405342,371666,4574305
