Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2023,Volaris (Concesionaria Vuela Cia de Aviación),2086128,1853504,2088613,2141046,2050061,1946624,2243866,2286122,1820756,1930762,0,0,20447482
2023,Vivaaerobus (Aeroenlaces),1472333,1287669,1605867,1723696,1729355,1751633,2028926,2015964,1786169,1937148,0,0,17338760
2023,Aeroméxico (Aerovías de México),903296,845675,1008672,969824,991375,1104916,1210948,1178831,976985,1051071,0,0,10241593
2023,Aeroméxico Connect (Aerolitoral),445498,416674,468620,453401,444408,390793,421435,442495,447161,452651,0,0,4383136
2023,Magnicharters (Grupo Aéreo Monterrey),15438,11992,15589,22224,22311,26027,38495,33617,20794,27175,0,0,233662
2023,Transportes Aéreos Regionales (TAR),23680,19704,23229,23384,22530,16972,16965,17102,13440,15799,0,0,192805
2023,Aéreo Calafia,9895,9031,4538,7610,10045,8579,7815,711,136,745,0,0,59105
2023,Aeromar,22711,9220,0,0,0,0,0,0,0,0,0,0,31931
2023,Aerus,0,0,0,73,866,930,1593,1858,1718,1593,0,0,8631
