Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2013,Interjet (ABC Aerolíneas),555668,493146,595521,583920,628241,652570,758001,693611,566145,607201,643933,678928,7456885
2013,Aeroméxico Connect (Aerolitoral),463942,415393,453787,448436,455092,450787,544989,521816,475541,530868,520981,553675,5835307
2013,Aeroméxico (Aerovías de México),357356,332575,356228,393253,424925,427631,458054,454861,439225,464933,493547,457017,5059605
2013,Volaris (Concesionaria Vuela Cia de Aviación),526963,445437,556870,525809,569655,567463,787588,714130,549500,569663,573518,669759,7056355
2013,Vivaaerobus (Aeroenlaces),284034,243858,345863,313948,299470,315614,411323,344823,263263,289875,292315,329873,3734259
2013,Magnicharters (Grupo Aéreo Monterrey),53363,31977,56541,67386,70739,78682,101739,95737,61187,52023,63789,88808,821971
2013,Aeromar,39873,42253,45523,44380,46386,42502,45629,43354,39507,45148,45935,42675,523165
