Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2005,ABC Aerolineas,0,0,0,0,0,0,0,0,0,0,0,38815,38815
2005,Aerocalifornia,152095,134880,155956,154014,156230,157572,189676,176352,137125,128423,113782,108018,1764123
2005,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,74904,72773,79600,80197,81074,78196,78774,75076,68599,68668,69033,65811,892705
2005,Aeromar,37799,39197,40778,46573,50177,49907,50949,50565,48798,52467,55717,50592,573519
2005,Aerovías Caribe S.A  de C.V,53129,53141,61854,65561,68011,68456,90562,82667,78061,86674,95634,115950,919700
2005,Aeroméxico (Aerovías de México),519538,506647,546644,526608,546077,544255,590813,577708,485571,523274,532094,525484,6424713
2005,Aviacsa (Consorcio Aviaxsa),221625,226672,299896,277207,285714,264373,304563,250369,214869,237100,250359,287685,3120432
2005,Avolar,0,0,0,0,0,0,0,0,1478,5185,6573,9134,22370
2005,Grupo Aereo  Monterrey,39715,28277,50223,42135,52629,59089,75207,56807,39849,35860,32436,36811,549038
2005,Lineas Aereas Azteca,65117,48785,65589,62323,83064,83331,108962,101223,82841,74389,69585,90790,935999
2005,Mexicana (Mexicana de Aviación),350800,363151,391925,366925,400854,392680,414861,405641,367513,379515,380471,372868,4587204
