Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2000,Aeroméxico (Aerovías de México),569834,564413,629393,573657,613314,582518,674770,675337,577813,611237,619420,599263,7290969
2000,Mexicana (Mexicana de Aviación),417899,409033,463927,414059,461341,444833,504703,484081,397785,431677,446832,431445,5307615
2000,Aerocalifornia,135320,117694,129823,119110,120550,105661,121408,121556,94144,104904,116253,131247,1417670
2000,Aviacsa (Consorcio Aviaxsa),93523,85159,99417,104974,121242,108582,141440,143899,111769,118499,120857,134192,1383553
2000,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,55678,53515,59177,54849,62174,59692,59642,69458,61772,67673,65337,63206,732173
2000,Aeromar,36264,39389,46771,42131,44732,45579,40890,42824,40853,42489,42154,33175,497251
2000,Aerovías Caribe S.A  de C.V,38155,37818,42351,41471,38199,32506,32130,31778,26787,29122,37037,34143,421497
2000,Aerolineas Internacionales,32068,28761,32604,29043,32604,23920,34384,36796,37464,23920,41368,46838,399770
2000,Lineas Aereas Allegro,11398,7088,7894,9893,11529,11823,16446,14829,10863,10422,11699,23762,147646
2000,Aerocozumel,9700,10952,12889,13267,10038,9764,10137,9679,6300,5963,6824,8283,113796
2000,Aero Cuahonte S.A de C.V,2986,2733,3216,3072,3199,2722,2828,2906,2388,2769,2615,2691,34125
2000,Aeroejecutivo S.A de C.V ,2911,3012,2988,2073,2119,2281,1397,0,0,0,0,0,16781
