Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2008,ABC Aerolineas,210890,231223,249376,215901,252068,247312,317752,255142,192517,251153,281159,290021,2994514
2008,Aerocalifornia,110436,103387,114203,42304,94803,83992,0,0,0,0,0,0,549125
2008,Aeroenlaces,93269,113186,151059,135538,139639,124340,145063,109566,72294,72947,81565,95690,1334156
2008,Aerolineas Mesoamericanas,100205,101241,112905,96419,85942,83034,104560,99295,80528,0,0,0,864129
2008,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,227906,228622,245374,243958,249943,243625,267200,266907,228356,238355,286460,278360,3005066
2008,Aeromar,27114,35872,32363,37575,37537,37405,36234,37567,36998,39695,42594,37381,438335
2008,Aerovías Caribe S.A  de C.V,169101,167983,215708,206827,239832,244593,303505,295724,295794,330593,342526,335309,3147495
2008,Aeroméxico (Aerovías de México),383278,376080,400208,398711,404561,404490,437669,416873,376580,388850,380929,369839,4738068
2008,Aviacsa (Consorcio Aviaxsa),236875,171166,244075,227267,237761,216622,235317,212078,186325,203954,219447,239771,2630658
2008,Avolar,90946,78843,88705,51232,52515,42769,47194,36075,5810,0,0,0,494089
2008,Grupo Aereo  Monterrey,36778,36135,59888,51460,62757,29378,54603,53551,46038,47266,51010,60461,589325
2008,Mexicana (Mexicana de Aviación),346892,314732,339066,329428,319588,310861,315665,298081,205831,227341,240359,253099,3500943
2008,Vuela,267467,243112,281194,261074,301364,276994,310801,315602,259150,262669,272779,310968,3363174
