Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
1996,Aero Cuahonte S.A de C.V,0,0,0,0,0,0,0,0,0,0,0,3632,3632
1996,Aero Sudpacifico S.A.,1491,1195,1415,351,1641,1475,1973,1766,1267,1590,0,0,14164
1996,Aerocalifornia,75875,63944,75422,77792,76640,72354,95230,97243,64923,81364,92006,92442,965235
1996,Aerocozumel,11864,12016,14408,9844,11805,12325,12187,12139,8053,10097,12288,13097,140123
1996,Aeroejecutivo S.A de C.V ,15919,14131,15635,17323,27645,15667,23920,23942,21389,22544,27058,22870,248043
1996,Aerolineas Internacionales,12460,12539,13294,13758,13794,13575,16198,16309,13362,13631,20541,19819,179280
1996,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,37810,39737,41075,40662,47214,45728,50932,49215,47355,53513,51437,51627,556305
1996,Aeromar,34561,35708,45448,26061,33462,25192,26527,25812,25969,31008,30541,26541,366830
1996,Aerolineas Morelos S.A (Aeromorelos),2391,2268,2221,2094,1678,1280,1943,2355,1230,1413,2195,1585,22653
1996,Aerovías Caribe S.A  de C.V,29103,28508,32043,23308,33748,31881,41008,41877,32307,35008,36250,36497,401538
1996,Aeroméxico (Aerovías de México),428363,416970,445545,423458,437315,421147,504487,503533,420295,462729,471488,473810,5409140
1996,Aviación del Noroeste S.A de C.V,2924,2025,2353,2031,2340,441,0,0,0,0,0,0,12114
1996,Aviacsa (Consorcio Aviaxsa),34705,30150,33986,38198,50594,30435,43355,41042,29483,38957,49381,50217,470503
1996,Lineas Aereas Allegro,4102,3292,3683,4069,4556,2543,8587,7892,7892,3396,5272,3396,58680
1996,Mexicana (Mexicana de Aviación),350997,324434,361629,339770,344277,330417,407649,417139,319712,345097,366305,386930,4294356
1996,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",111079,76384,87118,89717,77908,68841,98464,107682,74899,69522,76909,118121,1056644
