Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2004,Aero Cuahonte S.A de C.V,352,278,333,172,204,279,293,265,0,0,0,0,2176
2004,Aerocalifornia,152863,151214,153391,144978,136833,139098,145462,137481,122379,140736,144573,150830,1719838
2004,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,65789,69776,79396,76147,79123,82487,96456,97416,83367,88387,64183,79780,962307
2004,Aeromar,39421,32288,49953,44881,48734,48501,48876,47711,44041,48760,48954,44109,546229
2004,Aerovías Caribe S.A  de C.V,49401,50037,57687,62287,63216,59895,76755,72393,53473,56508,61732,61016,724400
2004,Aeroméxico (Aerovías de México),500039,495638,571246,562406,573858,551455,644368,612501,506670,549703,532603,550878,6651365
2004,Aviacsa (Consorcio Aviaxsa),206875,210030,234414,235600,257031,216166,281631,248978,193024,225249,245716,257517,2812231
2004,Grupo  Aereo Monterrey,38300,33992,34734,59547,55694,66613,92892,70083,42960,35826,38207,45978,614826
2004,Lineas Aereas Azteca,54354,51408,55664,59730,52139,48913,70773,62500,43176,59236,60456,72861,691210
2004,Mexicana (Mexicana de Aviación),363658,364417,407790,417506,416151,407675,483379,443669,355950,398747,388508,359240,4806690
