Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2015,Aéreo Calafia,6327,5000,5881,6171,6173,5668,9782,9532,7518,8037,9930,14424,94443
2015,Aeromar,35673,37087,41492,40128,40856,41281,41078,39252,36493,41435,45160,43340,483275
2015,Aeroméxico (Aerovías de México),414443,394100,450515,437654,503476,469561,503799,472901,408481,462401,485018,452921,5455270
2015,Aeroméxico Connect (Aerolitoral),564172,533721,618045,582095,595011,560182,639403,614946,545465,604364,613311,632086,7102801
2015,Interjet (ABC Aerolíneas),608507,582985,751439,761034,776377,786704,872501,819792,772378,807413,795959,803676,9138765
2015,Magnicharters (Grupo Aéreo Monterrey),69597,48937,70055,70985,100804,104949,140831,136178,74691,69065,69749,60867,1016708
2015,Transportes Aéreos Regionales (TAR),15632,13855,18093,18488,18730,18332,24621,26488,22435,29611,37383,46383,290051
2015,Vivaaerobus (Aeroenlaces),310806,268736,326644,350921,330071,327519,473018,450809,343200,375886,375863,427947,4361420
2015,Volaris (Concesionaria Vuela Cia de Aviación),686691,561261,685155,720548,739457,752478,967372,893403,693475,769027,817935,909288,9196090
