Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2020,Aéreo Calafia,13840,10857,8791,1164,1324,1927,3082,3748,4853,5614,6583,6626,68409
2020,Aeromar,66557,58340,40953,2628,4612,8807,17715,21943,20552,25728,26810,29854,324499
2020,Aeroméxico (Aerovías de México),442909,420890,309645,46409,42846,116670,180199,229275,300831,374704,420516,425522,3310416
2020,Aeroméxico Connect (Aerolitoral),588115,567151,416169,84048,79528,93405,243276,295825,308538,368973,360801,439279,3845108
2020,Interjet (ABC Aerolíneas),874053,784342,576225,25068,14835,24942,38811,38737,41547,33425,17545,4039,2473569
2020,Magnicharters (Grupo Aéreo Monterrey),47575,26652,23248,705,0,5002,24630,30641,30615,29759,37463,45610,301900
2020,Transportes Aéreos Regionales (TAR),40620,36382,26274,485,1040,2168,4178,7400,11615,14897,14115,17383,176557
2020,Vivaaerobus (Aeroenlaces),919635,841486,680510,89829,90419,192046,396170,563349,630833,759003,816192,917233,6896705
2020,Volaris (Concesionaria Vuela Cia de Aviación),1440399,1345726,1060190,162889,151037,441109,764908,929353,968345,1096678,1220073,1258591,10839298
