Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
1998,Aero Cuahonte S.A de C.V,3535,3157,3347,3686,3735,2837,3731,3378,2261,3106,3181,3746,39700
1998,Aerocalifornia,119668,111125,133551,147865,138131,127773,161836,161770,117205,128611,127119,146401,1621055
1998,Aerocozumel,10550,11415,9751,9264,10876,9917,9891,11064,6902,8831,10401,11286,120148
1998,Aeroejecutivo S.A de C.V ,12245,10335,14475,7817,9504,7149,7220,7552,5656,7274,5838,2922,97987
1998,Aerolineas Internacionales,21641,22008,26616,31107,30974,22035,36323,31427,16497,23404,29021,31827,322880
1998,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,55131,52566,61266,59579,61947,55818,60767,59689,55076,60320,55639,54942,692740
1998,Aeromar,27599,29572,34725,32550,33279,32295,33300,32376,30693,33937,32444,28477,381247
1998,Aerovías Caribe S.A  de C.V,37987,39763,45086,43414,38809,33653,69370,53697,19135,23029,25491,22959,452393
1998,Aeroméxico (Aerovías de México),475298,457563,526787,498494,522194,490563,581193,582128,481938,523111,512870,517139,6169278
1998,Aviacsa (Consorcio Aviaxsa),52470,49085,64981,66544,76308,57599,83277,87807,65529,72533,76381,96732,849246
1998,Lineas Aereas Allegro,4257,2407,3435,7462,6383,2894,5440,6488,8036,7409,8610,11547,74368
1998,Mexicana (Mexicana de Aviación),374921,361130,394723,391851,377978,374755,442798,446025,333358,387727,399044,391281,4675591
1998,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",119629,93553,109755,110563,118268,110490,144637,166218,118790,139734,143778,174224,1549639
