E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
ABC Aerolineas,"210,890","231,223","249,376","215,901","252,068","247,312","317,752","255,142","192,517","251,153","281,159","290,021","2,994,514"
Aerocalifornia,"110,436","103,387","114,203","42,304","94,803","83,992",0,0,0,0,0,0,"549,125"
Aeroenlaces,"93,269","113,186","151,059","135,538","139,639","124,340","145,063","109,566","72,294","72,947","81,565","95,690","1,334,156"
Aerolineas Mesoamericanas,"100,205","101,241","112,905","96,419","85,942","83,034","104,560","99,295","80,528",0,0,0,"864,129"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"227,906","228,622","245,374","243,958","249,943","243,625","267,200","266,907","228,356","238,355","286,460","278,360","3,005,066"
Aeromar,"27,114","35,872","32,363","37,575","37,537","37,405","36,234","37,567","36,998","39,695","42,594","37,381","438,335"
Aerovías Caribe S.A  de C.V,"169,101","167,983","215,708","206,827","239,832","244,593","303,505","295,724","295,794","330,593","342,526","335,309","3,147,495"
Aeroméxico (Aerovías de México),"383,278","376,080","400,208","398,711","404,561","404,490","437,669","416,873","376,580","388,850","380,929","369,839","4,738,068"
Aviacsa (Consorcio Aviaxsa),"236,875","171,166","244,075","227,267","237,761","216,622","235,317","212,078","186,325","203,954","219,447","239,771","2,630,658"
Avolar,"90,946","78,843","88,705","51,232","52,515","42,769","47,194","36,075","5,810",0,0,0,"494,089"
Grupo Aereo  Monterrey,"36,778","36,135","59,888","51,460","62,757","29,378","54,603","53,551","46,038","47,266","51,010","60,461","589,325"
Mexicana (Mexicana de Aviación),"346,892","314,732","339,066","329,428","319,588","310,861","315,665","298,081","205,831","227,341","240,359","253,099","3,500,943"
Vuela,"267,467","243,112","281,194","261,074","301,364","276,994","310,801","315,602","259,150","262,669","272,779","310,968","3,363,174"
