E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
ABC Aerolineas,0,0,0,0,0,0,0,0,0,0,0,"38,815","38,815"
Aerocalifornia,"152,095","134,880","155,956","154,014","156,230","157,572","189,676","176,352","137,125","128,423","113,782","108,018","1,764,123"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"74,904","72,773","79,600","80,197","81,074","78,196","78,774","75,076","68,599","68,668","69,033","65,811","892,705"
Aeromar,"37,799","39,197","40,778","46,573","50,177","49,907","50,949","50,565","48,798","52,467","55,717","50,592","573,519"
Aerovías Caribe S.A  de C.V,"53,129","53,141","61,854","65,561","68,011","68,456","90,562","82,667","78,061","86,674","95,634","115,950","919,700"
Aeroméxico (Aerovías de México),"519,538","506,647","546,644","526,608","546,077","544,255","590,813","577,708","485,571","523,274","532,094","525,484","6,424,713"
Aviacsa (Consorcio Aviaxsa),"221,625","226,672","299,896","277,207","285,714","264,373","304,563","250,369","214,869","237,100","250,359","287,685","3,120,432"
Avolar,0,0,0,0,0,0,0,0,"1,478","5,185","6,573","9,134","22,370"
Grupo Aereo  Monterrey,"39,715","28,277","50,223","42,135","52,629","59,089","75,207","56,807","39,849","35,860","32,436","36,811","549,038"
Lineas Aereas Azteca,"65,117","48,785","65,589","62,323","83,064","83,331","108,962","101,223","82,841","74,389","69,585","90,790","935,999"
Mexicana (Mexicana de Aviación),"350,800","363,151","391,925","366,925","400,854","392,680","414,861","405,641","367,513","379,515","380,471","372,868","4,587,204"
