E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Sudpacifico S.A.,"2,481","2,261","3,282","3,676","1,620","1,393","2,147","1,867","1,516","1,563","2,670","1,970","26,446"
Aerocalifornia,"64,320","55,790","66,013","72,375","77,118","64,891","72,024","78,891","63,312","78,242","71,895","86,778","851,649"
Aerocozumel,"16,606","15,879","16,895","14,475","11,774","11,301","11,981","12,297","9,662","7,743","10,761","11,228","150,602"
Aeroejecutivo S.A de C.V ,"9,658","12,548","13,064","13,480","16,625","15,075","25,355","33,432","7,727","10,262","13,726","20,771","191,723"
Aerolineas Internacionales,"10,888","8,733","9,513","11,968","13,549","15,555","16,987","18,338","9,789","12,104","11,807","13,830","153,061"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"33,933","31,990","37,836","36,762","36,862","37,854","36,339","42,876","35,607","40,973","39,715","39,662","450,409"
Aeromar,"20,819","19,117","22,943","21,366","23,679","24,003","25,419","28,293","26,626","31,010","31,291","27,178","301,744"
Aerolineas Morelos S.A (Aeromorelos),"2,271","2,001","2,404","1,794","1,213","1,285","2,091","2,664","1,166","1,782","2,331","2,367","23,369"
Aerovías Caribe S.A  de C.V,"30,872","24,304","27,108","27,001","24,221","20,465","35,576","39,575","31,357","37,152","26,401","29,188","353,220"
Aeroméxico (Aerovías de México),"479,277","412,986","472,241","453,797","456,229","434,664","533,143","550,062","432,259","460,630","434,742","459,777","5,579,807"
Aviación del Noroeste S.A de C.V,"8,269","4,172","5,060","4,405","3,732",0,"2,984","2,597","2,434","2,878","2,682","3,442","42,655"
Aviacsa (Consorcio Aviaxsa),"48,733","43,456","42,808","38,842","35,356","37,467","47,550","51,746","35,691","37,672","37,035","41,955","498,311"
Lineas Aereas Allegro,"4,362","1,511",950,"2,224","1,487","1,708","6,690","6,984","2,686","2,559","3,463","5,736","40,360"
Mexicana (Mexicana de Aviación),"368,023","326,111","382,507","390,021","381,600","362,131","463,004","475,555","352,372","374,882","366,017","399,419","4,641,642"
"Pal Aerolineas, S.A. de C.V.","2,122",0,0,0,0,0,0,0,0,0,0,0,"2,122"
Servicios Aereos Rutas Oriente  (S.A.R.O),"42,050",0,0,0,0,0,0,0,0,0,0,0,"42,050"
Servicio Aéreo Leo López S.A. de C.V,303,0,0,0,0,0,0,0,0,0,0,0,303
"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)","162,657","131,055","151,806","148,520","104,813","96,931","152,525","158,264","86,409","85,263","89,096","139,932","1,507,271"
Transportes Aéreos  Gane S.A  de C.V,343,185,0,0,0,0,0,0,0,0,0,0,528
