E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aéreo Calafia,"24,734","22,962","29,029","25,839","26,212","26,323","32,903","27,838","21,054","23,163","24,593","25,513","310,163"
Aeromar,"59,653","58,017","64,479","58,039","53,374","45,088","54,781","61,611","56,351","66,199","66,338","62,654","706,584"
Aeroméxico (Aerovías de México),"434,943","403,562","442,790","462,492","482,920","457,078","520,891","448,978","421,334","459,758","452,679","461,042","5,448,467"
Aeroméxico Connect (Aerolitoral),"662,976","607,070","685,629","692,596","682,817","710,526","773,881","744,528","666,378","683,384","656,138","690,451","8,256,374"
Interjet (ABC Aerolíneas),"780,337","703,483","873,147","881,220","891,111","837,443","922,596","888,851","761,942","873,045","895,024","856,360","10,164,559"
Magnicharters (Grupo Aéreo Monterrey),"55,290","39,995","50,611","73,805","84,998","75,066","110,733","104,695","61,896","65,741","70,291","78,800","871,921"
Transportes Aéreos Regionales (TAR),"47,772","44,679","50,043","49,795","49,481","48,032","58,466","54,110","46,860","52,203","52,654","50,423","604,518"
Vivaaerobus (Aeroenlaces),"639,443","554,875","706,824","711,760","741,061","746,330","921,247","897,879","743,064","778,889","809,008","862,082","9,112,462"
Volaris (Concesionaria Vuela Cia de Aviación),"1,069,272","988,311","1,146,259","1,141,275","1,151,153","1,141,341","1,294,108","1,188,354","1,122,015","1,243,697","1,260,619","1,313,443","14,059,847"
