E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Interjet (ABC Aerolíneas),"555,668","493,146","595,521","583,920","628,241","652,570","758,001","693,611","566,145","607,201","643,933","678,928","7,456,885"
Aeroméxico Connect (Aerolitoral),"463,942","415,393","453,787","448,436","455,092","450,787","544,989","521,816","475,541","530,868","520,981","553,675","5,835,307"
Aeroméxico (Aerovías de México),"357,356","332,575","356,228","393,253","424,925","427,631","458,054","454,861","439,225","464,933","493,547","457,017","5,059,605"
Volaris (Concesionaria Vuela Cia de Aviación),"526,963","445,437","556,870","525,809","569,655","567,463","787,588","714,130","549,500","569,663","573,518","669,759","7,056,355"
Vivaaerobus (Aeroenlaces),"284,034","243,858","345,863","313,948","299,470","315,614","411,323","344,823","263,263","289,875","292,315","329,873","3,734,259"
Magnicharters (Grupo Aéreo Monterrey),"53,363","31,977","56,541","67,386","70,739","78,682","101,739","95,737","61,187","52,023","63,789","88,808","821,971"
Aeromar,"39,873","42,253","45,523","44,380","46,386","42,502","45,629","43,354","39,507","45,148","45,935","42,675","523,165"
