E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Volaris (Concesionaria Vuela Cia de Aviación),"1,704,541","1,626,280","1,918,861","2,020,386","1,950,855","1,750,499","2,139,429","2,088,715","1,934,097","2,090,696","2,023,676","2,191,661","23,439,696"
Vivaaerobus (Aeroenlaces),"1,173,978","1,012,667","1,303,207","1,420,556","1,474,595","1,464,804","1,644,599","1,602,163","1,380,695","1,563,987","1,632,820","1,695,678","17,369,749"
Aeroméxico (Aerovías de México),"476,869","499,376","729,295","797,826","911,120","919,898","914,055","919,122","891,597","976,889","997,118","995,796","10,028,961"
Aeroméxico Connect (Aerolitoral),"350,478","356,401","432,162","393,801","411,957","415,644","478,743","475,479","398,190","455,200","472,858","473,619","5,114,532"
Aeromar,"31,540","25,622","30,407","37,047","32,917","28,062","35,343","34,751","26,885","28,108","28,029","28,548","367,259"
Magnicharters (Grupo Aéreo Monterrey),"19,731","14,632","20,444","30,427","36,048","38,612","52,783","41,574","24,539","25,003","26,190","31,832","361,815"
Transportes Aéreos Regionales (TAR),"22,335","22,836","30,333","31,976","32,934","31,692","35,829","28,457","23,409","26,165","25,324","32,706","343,996"
Aéreo Calafia,"10,351","10,775","13,206","12,580","14,051","11,528","12,900","12,206","8,563","11,560","10,809","8,855","137,384"
