E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Volaris (Concesionaria Vuela Cia de Aviación),"2,086,128","1,853,504","2,088,613","2,141,046","2,050,061","1,946,624","2,243,866","2,286,122","1,820,756","1,930,762", -   , -   ,"20,447,482"
Vivaaerobus (Aeroenlaces),"1,472,333","1,287,669","1,605,867","1,723,696","1,729,355","1,751,633","2,028,926","2,015,964","1,786,169","1,937,148", -   , -   ,"17,338,760"
Aeroméxico (Aerovías de México),"903,296","845,675","1,008,672","969,824","991,375","1,104,916","1,210,948","1,178,831","976,985","1,051,071", -   , -   ,"10,241,593"
Aeroméxico Connect (Aerolitoral),"445,498","416,674","468,620","453,401","444,408","390,793","421,435","442,495","447,161","452,651", -   , -   ,"4,383,136"
Magnicharters (Grupo Aéreo Monterrey),"15,438","11,992","15,589","22,224","22,311","26,027","38,495","33,617","20,794","27,175", -   , -   ,"233,662"
Transportes Aéreos Regionales (TAR),"23,680","19,704","23,229","23,384","22,530","16,972","16,965","17,102","13,440","15,799", -   , -   ,"192,805"
Aéreo Calafia,"9,895","9,031","4,538","7,610","10,045","8,579","7,815",711,136,745, -   , -   ,"59,105"
Aeromar,"22,711","9,220", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"31,931"
Aerus, -   , -   , -   ,73,866,930,"1,593","1,858","1,718","1,593", -   , -   ,"8,631"
