E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Cuahonte S.A de C.V,352,278,333,172,204,279,293,265,0,0,0,0,"2,176"
Aerocalifornia,"152,863","151,214","153,391","144,978","136,833","139,098","145,462","137,481","122,379","140,736","144,573","150,830","1,719,838"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"65,789","69,776","79,396","76,147","79,123","82,487","96,456","97,416","83,367","88,387","64,183","79,780","962,307"
Aeromar,"39,421","32,288","49,953","44,881","48,734","48,501","48,876","47,711","44,041","48,760","48,954","44,109","546,229"
Aerovías Caribe S.A  de C.V,"49,401","50,037","57,687","62,287","63,216","59,895","76,755","72,393","53,473","56,508","61,732","61,016","724,400"
Aeroméxico (Aerovías de México),"500,039","495,638","571,246","562,406","573,858","551,455","644,368","612,501","506,670","549,703","532,603","550,878","6,651,365"
Aviacsa (Consorcio Aviaxsa),"206,875","210,030","234,414","235,600","257,031","216,166","281,631","248,978","193,024","225,249","245,716","257,517","2,812,231"
Grupo  Aereo Monterrey,"38,300","33,992","34,734","59,547","55,694","66,613","92,892","70,083","42,960","35,826","38,207","45,978","614,826"
Lineas Aereas Azteca,"54,354","51,408","55,664","59,730","52,139","48,913","70,773","62,500","43,176","59,236","60,456","72,861","691,210"
Mexicana (Mexicana de Aviación),"363,658","364,417","407,790","417,506","416,151","407,675","483,379","443,669","355,950","398,747","388,508","359,240","4,806,690"
