E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aeroméxico (Aerovías de México),"437,019","429,089","504,675","463,537","493,425","440,063","497,667","476,837","414,355","457,200","451,213","423,727","5,488,807"
Mexicana (Mexicana de Aviación),"311,402","293,175","398,594","407,001","416,603","390,246","438,272","390,210","348,846","402,948","405,342","371,666","4,574,305"
Aviacsa (Consorcio Aviaxsa),"284,773","254,855","304,141","281,781","291,193","246,021","299,739","273,890","238,450","239,629","217,452","275,620","3,207,544"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"147,512","152,223","190,500","181,118","196,781","197,719","213,204","216,174","197,335","216,614","210,190","222,129","2,341,499"
Vuela,"93,086","100,053","140,799","169,401","164,193","191,800","241,599","227,747","176,793","186,897","218,232","266,342","2,176,942"
Aerovías Caribe S.A  de C.V,"115,818","127,596","164,833","179,377","177,521","171,550","206,816","184,565","155,315","181,902","185,152","170,906","2,021,351"
ABC Aerolineas,"110,661","93,617","129,954","137,931","145,593","154,694","229,444","200,726","149,043","165,072","190,484","221,982","1,929,201"
Aerocalifornia,"77,654","85,355","102,630","112,576","113,646","117,324","139,975","132,930","113,046","126,044","108,914","108,402","1,338,496"
Aeroenlaces,"59,961","53,302","86,742","84,777","115,052","116,730","156,818","130,740","85,980","95,419","109,521","121,057","1,216,099"
Avolar,"71,119","62,946","70,572","85,952","77,499","78,599","93,829","93,972","71,374","81,166","74,288","89,569","950,885"
Aerolineas Mesoamericanas,"47,740","40,948","61,484","60,368","66,586","70,606","91,458","89,383","73,301","63,183","105,431","112,549","883,037"
Grupo Aereo  Monterrey,"53,613","47,538","50,777","63,376","51,595","62,000","75,907","68,831","51,388","43,814","46,282","41,001","656,122"
Aeromar,"39,808","36,973","47,289","42,984","49,604","46,987","47,385","43,564","38,783","42,675","36,545","30,507","503,104"
Lineas Aereas Azteca,"70,803","42,770",0,0,0,0,0,0,0,0,0,0,"113,573"
