E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Cuahonte S.A de C.V,"1,218","1,201","1,242","1,178","1,077",944,894,725,556,726,669,726,"11,156"
Aerocalifornia,"110,884","96,344","133,717","116,436","115,571","118,639","150,058","133,034","101,564","103,891","110,857","130,069","1,421,064"
Aerocozumel,"5,792","4,625","6,432","6,193","4,924","4,588","4,098","3,960","3,030","2,916","3,892","4,284","54,734"
Aerolineas Internacionales,"36,890","35,608","39,486","35,608","24,053","30,504","48,264","55,509","39,527","31,620","32,885","40,123","450,077"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"57,553","54,513","60,817","64,750","67,743","61,602","70,813","72,655","63,033","67,589","62,487","59,431","762,986"
Aeromar,"31,418","32,102","32,975","37,448","38,627","35,572","37,571","38,360","36,088","40,246","39,203","35,100","434,710"
Aerovías Caribe S.A  de C.V,"32,135","31,736","37,328","36,076","36,422","33,763","52,069","55,875","35,592","39,931","43,157","52,447","486,531"
Aeroméxico (Aerovías de México),"510,714","481,716","554,625","559,013","565,017","530,520","632,128","625,038","510,599","555,521","537,786","557,724","6,620,401"
Aviacsa (Consorcio Aviaxsa),"129,651","115,461","155,130","132,646","136,808","130,789","170,076","160,629","113,967","110,996","119,852","160,257","1,636,262"
Grupo  Aereo Monterrey,"22,730","19,901","35,005","27,976","31,870","36,201","43,489","36,964","24,775","16,339","19,773","32,284","347,307"
Lineas Aereas Allegro,"32,232","17,829","28,365","27,772","51,294","21,770","30,310","28,857","23,481","22,489","24,804","39,123","348,326"
Lineas Aereas Azteca,"25,533","15,204","23,389","21,547","21,116","22,026","35,333","39,955","24,570","21,901","26,440","45,497","322,511"
Mexicana (Mexicana de Aviación),"347,275","338,426","394,668","380,662","389,555","373,795","480,677","461,546","357,281","383,621","391,203","396,811","4,695,520"
