E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aéreo Calafia,"24,399","20,074","24,631","26,137","24,578","24,034","24,398","22,090","15,863","19,701","15,593","14,577","256,075"
Aeromar,"58,031","57,214","65,023","62,768","60,054","63,902","73,955","67,450","59,968","66,179","72,021","77,703","784,268"
Aeroméxico (Aerovías de México),"446,823","411,787","459,572","422,543","452,122","401,152","414,120","430,288","431,066","524,891","506,276","452,651","5,353,291"
Aeroméxico Connect (Aerolitoral),"611,869","558,927","666,221","627,646","678,490","650,497","712,141","655,731","582,088","651,650","606,161","649,536","7,650,957"
Interjet (ABC Aerolíneas),"766,225","701,938","875,192","903,577","976,900","922,114","1,003,287","958,899","752,852","841,495","901,134","961,950","10,565,563"
Magnicharters (Grupo Aéreo Monterrey),"45,885","31,139","40,758","54,469","74,030","90,790","112,757","88,036","61,638","57,392","54,165","72,539","783,598"
Transportes Aéreos Regionales (TAR),"45,704","40,877","49,242","50,399","51,746","47,162","53,404","47,511","42,002","40,850","41,740","45,759","556,396"
Vivaaerobus (Aeroenlaces),"755,742","599,550","743,339","853,729","897,442","932,901","1,103,325","1,066,768","885,139","978,927","973,490","1,016,373","10,806,725"
Volaris (Concesionaria Vuela Cia de Aviación),"1,234,660","1,169,411","1,386,887","1,437,064","1,489,027","1,423,210","1,507,674","1,428,408","1,356,786","1,435,937","1,441,235","1,464,069","16,774,368"
