E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Cuahonte S.A de C.V,"2,769","2,501","2,749","2,434","2,318","2,246","2,193","2,198","1,617","1,697","1,486","1,379","25,587"
Aerocalifornia,"122,553","115,697","124,848","127,632","115,639","131,957","156,224","144,252","108,663","105,270","97,378","112,462","1,462,575"
Aerocozumel,"7,793","7,912","8,951","8,982","6,460","6,785","7,415","6,821","3,712","4,837","5,769","6,160","81,597"
Aerolineas Internacionales,"38,511","37,111","33,298","33,993","31,083","34,315","39,486","33,415","24,053","24,750","33,698","37,129","400,842"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"68,799","62,657","70,893","66,889","65,337","68,386","76,122","75,382","56,891","62,630","60,111","56,696","790,793"
Aeromar,"33,050","32,209","36,049","32,949","37,651","35,827","36,099","37,450","34,876","40,227","37,582","31,595","425,564"
Aerovías Caribe S.A  de C.V,"34,171","33,160","41,759","37,760","35,231","30,695","38,265","39,466","34,015","27,420","27,658","34,253","413,853"
Aeroméxico (Aerovías de México),"578,262","549,428","626,534","601,970","612,266","548,515","683,125","666,211","518,815","530,814","536,062","542,257","6,994,259"
Aviacsa (Consorcio Aviaxsa),"129,031","119,552","133,665","133,800","135,437","122,104","156,754","145,087","96,674","97,453","107,992","140,370","1,517,919"
Grupo  Aereo Monterrey,0,"15,862","21,515","36,084","27,862","35,555","48,891","39,556","20,382","19,145","24,647","37,006","326,505"
Lineas Aereas Allegro,"21,774","17,886","25,822","27,931","26,389","24,098","30,600","39,401","31,416","29,378","22,727","42,540","339,962"
Lineas Aereas Azteca,0,0,0,0,0,"6,134","17,321","15,807","8,116","8,560","9,052","22,265","87,255"
Mexicana (Mexicana de Aviación),"410,016","402,204","460,606","421,960","435,640","434,961","508,379","485,625","353,522","374,247","394,746","374,865","5,056,771"
