E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Sudpacifico S.A.,"2,408","1,570","2,730","2,984",882,"2,070","2,443","1,696","2,372","3,504","3,670","4,377","30,706"
Aerocalifornia,"64,391","51,951","62,239","63,557","66,335","58,701","75,569","77,015","64,291","65,858","60,231","79,636","789,774"
Aerocozumel,"19,090","17,984","19,619","17,569","13,787","12,185","7,943","14,289","10,008","13,096","12,886","13,495","171,951"
Aeroejecutivo S.A de C.V ,0,0,0,0,0,0,0,0,352,"2,825","12,219","17,031","32,427"
Aerolineas Internacionales,0,0,0,0,788,"5,359","8,921","8,521","8,425","10,903","9,955","16,756","69,628"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"14,894","15,496","16,642","14,043","19,171","15,648","16,855","19,395","19,988","20,519","20,725","20,667","214,043"
Aeromar,"21,708","24,590","27,944","27,114","29,146","27,808","29,910","29,881","27,907","29,882","28,977","22,936","327,803"
Aerolineas Morelos S.A (Aeromorelos),"2,388","2,022","1,696","1,813","1,685","1,354","1,900","2,161","1,734","1,856","2,181","2,333","23,123"
Aerovías Caribe S.A  de C.V,"27,529","17,524","20,950","19,766","17,987","16,371","32,426","37,807","26,699","31,144","28,127","37,765","314,095"
Aeroméxico (Aerovías de México),"533,843","530,074","597,230","576,084","594,516","568,273","679,988","671,550","550,363","575,401","585,836","566,066","7,029,224"
Aerovías de Poniente S.A de C.V,"22,857","22,634","25,967","21,823","24,898","22,872","25,231","26,207","21,849","25,107","23,902","22,523","285,870"
Aviación del Noroeste S.A de C.V,"15,898","10,711","13,800","15,482","5,466","2,882","3,136","3,333","3,025","6,451","6,091","9,398","95,673"
Aviacsa (Consorcio Aviaxsa),"27,113","28,946","32,786","31,374","29,052","31,703","47,574","55,254","41,486","46,828","54,469","61,164","487,749"
Lineas Aereas Allegro,0,0,0,0,0,0,0,0,561,"1,396","5,846","4,696","12,499"
Mexicana (Mexicana de Aviación),"418,253","377,976","439,999","428,774","432,879","407,021","540,416","545,164","381,350","411,907","437,347","453,354","5,274,440"
"Pal Aerolineas, S.A. de C.V.","2,469","2,276","4,831","3,669","4,222","2,526","4,574","5,664","3,549","3,712","4,029","3,327","44,848"
Servicios Aereos Rutas Oriente  (S.A.R.O),"38,354","39,920","58,199","53,411","76,956","68,146","85,511","79,414","62,690","72,713","71,340","75,083","781,737"
Servicio Aéreo Leo López S.A. de C.V,203,145,390,333,390,"1,426",953,460,443,341,269,452,"5,805"
"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)","139,737","101,743","153,779","188,732","246,058","161,413","245,228","243,834","234,670","269,683","192,079","222,770","2,399,726"
Transportes Aéreos  Gane S.A  de C.V,0,0,0,0,0,600,392,404,237,425,242,476,"2,776"
