E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Interjet (ABC Aerolíneas),"558,803","488,097","571,861","535,131","527,747","524,167","649,329","599,881","532,175","578,348","571,997","580,080","6,717,616"
Aeroméxico Connect (Aerolitoral),"423,071","400,938","468,629","427,237","448,825","464,569","533,893","497,867","451,374","490,799","463,056","477,251","5,547,509"
Aeroméxico (Aerovías de México),"407,572","417,970","469,595","402,285","450,841","429,323","438,041","412,321","368,953","418,888","433,068","399,034","5,047,891"
Volaris (Concesionaria Vuela Cia de Aviación),"404,736","372,447","426,576","467,583","457,399","497,796","612,805","546,617","442,913","451,848","481,858","590,129","5,752,707"
Vivaaerobus (Aeroenlaces),"223,444","206,603","232,081","259,984","288,537","295,998","389,238","358,152","294,857","307,189","306,653","356,627","3,519,363"
Magnicharters (Grupo Aéreo Monterrey),"49,224","34,221","56,397","96,338","83,436","82,716","132,226","125,590","64,203","62,282","71,260","83,669","941,562"
Aeromar,"39,748","41,181","49,952","44,225","47,364","44,561","43,462","46,579","45,972","52,790","55,599","46,265","557,698"
