E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aéreo Calafia,"13,840","10,857","8,791","1,164","1,324","1,927","3,082","3,748","4,853","5,614","6,583","6,626","68,409"
Aeromar,"66,557","58,340","40,953","2,628","4,612","8,807","17,715","21,943","20,552","25,728","26,810","29,854","324,499"
Aeroméxico (Aerovías de México),"442,909","420,890","309,645","46,409","42,846","116,670","180,199","229,275","300,831","374,704","420,516","425,522","3,310,416"
Aeroméxico Connect (Aerolitoral),"588,115","567,151","416,169","84,048","79,528","93,405","243,276","295,825","308,538","368,973","360,801","439,279","3,845,108"
Interjet (ABC Aerolíneas),"874,053","784,342","576,225","25,068","14,835","24,942","38,811","38,737","41,547","33,425","17,545","4,039","2,473,569"
Magnicharters (Grupo Aéreo Monterrey),"47,575","26,652","23,248",705, -   ,"5,002","24,630","30,641","30,615","29,759","37,463","45,610","301,900"
Transportes Aéreos Regionales (TAR),"40,620","36,382","26,274",485,"1,040","2,168","4,178","7,400","11,615","14,897","14,115","17,383","176,557"
Vivaaerobus (Aeroenlaces),"919,635","841,486","680,510","89,829","90,419","192,046","396,170","563,349","630,833","759,003","816,192","917,233","6,896,705"
Volaris (Concesionaria Vuela Cia de Aviación),"1,440,399","1,345,726","1,060,190","162,889","151,037","441,109","764,908","929,353","968,345","1,096,678","1,220,073","1,258,591","10,839,298"
