E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Cuahonte S.A de C.V,"3,535","3,157","3,347","3,686","3,735","2,837","3,731","3,378","2,261","3,106","3,181","3,746","39,700"
Aerocalifornia,"119,668","111,125","133,551","147,865","138,131","127,773","161,836","161,770","117,205","128,611","127,119","146,401","1,621,055"
Aerocozumel,"10,550","11,415","9,751","9,264","10,876","9,917","9,891","11,064","6,902","8,831","10,401","11,286","120,148"
Aeroejecutivo S.A de C.V ,"12,245","10,335","14,475","7,817","9,504","7,149","7,220","7,552","5,656","7,274","5,838","2,922","97,987"
Aerolineas Internacionales,"21,641","22,008","26,616","31,107","30,974","22,035","36,323","31,427","16,497","23,404","29,021","31,827","322,880"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"55,131","52,566","61,266","59,579","61,947","55,818","60,767","59,689","55,076","60,320","55,639","54,942","692,740"
Aeromar,"27,599","29,572","34,725","32,550","33,279","32,295","33,300","32,376","30,693","33,937","32,444","28,477","381,247"
Aerovías Caribe S.A  de C.V,"37,987","39,763","45,086","43,414","38,809","33,653","69,370","53,697","19,135","23,029","25,491","22,959","452,393"
Aeroméxico (Aerovías de México),"475,298","457,563","526,787","498,494","522,194","490,563","581,193","582,128","481,938","523,111","512,870","517,139","6,169,278"
Aviacsa (Consorcio Aviaxsa),"52,470","49,085","64,981","66,544","76,308","57,599","83,277","87,807","65,529","72,533","76,381","96,732","849,246"
Lineas Aereas Allegro,"4,257","2,407","3,435","7,462","6,383","2,894","5,440","6,488","8,036","7,409","8,610","11,547","74,368"
Mexicana (Mexicana de Aviación),"374,921","361,130","394,723","391,851","377,978","374,755","442,798","446,025","333,358","387,727","399,044","391,281","4,675,591"
"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)","119,629","93,553","109,755","110,563","118,268","110,490","144,637","166,218","118,790","139,734","143,778","174,224","1,549,639"
