E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Interjet (ABC Aerolíneas),"458,552","402,688","495,374","510,430","540,569","491,094","652,797","580,811","492,067","545,557","558,242","608,927","6,337,108"
Aeroméxico Connect (Aerolitoral),"400,804","378,550","440,868","419,390","444,788","431,404","472,472","438,429","408,563","446,871","452,244","457,963","5,192,346"
Aeroméxico (Aerovías de México),"366,304","349,671","406,862","386,844","451,903","435,337","453,954","457,085","397,781","440,168","435,770","434,011","5,015,690"
Volaris (Concesionaria Vuela Cia de Aviación),"353,319","341,891","373,439","373,157","353,558","344,627","423,377","382,448","367,499","399,621","418,453","463,883","4,595,272"
Vivaaerobus (Aeroenlaces),"189,179","158,314","209,606","242,708","250,489","236,998","335,593","300,870","235,297","237,648","243,494","296,170","2,936,366"
Magnicharters (Grupo Aéreo Monterrey),"56,284","40,589","53,934","63,513","79,271","74,977","99,117","72,488","67,259","55,202","54,789","73,186","790,609"
Aeromar,"34,279","38,893","49,198","49,541","55,350","51,526","52,481","51,919","48,463","55,203","53,493","47,246","587,592"
