E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aero Cuahonte S.A de C.V,645,497,609,526,485,368,372,347,309,349,321,337,"5,165"
Aerocalifornia,"128,695","67,272","30,775","128,537","136,040","140,008","39,016","153,175","25,617","147,435","150,526","155,587","1,302,683"
Aerocozumel,"3,737","3,284","3,683","3,875","2,393","2,393",0,0,0,0,0,0,"19,365"
Aerolineas Internacionales,"59,451","52,056","49,124","52,681","40,950",0,0,0,0,0,0,0,"254,262"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"63,377","59,601","68,909","68,496","72,712","71,817","79,464","76,147","68,779","74,861","71,553","28,847","804,563"
Aeromar,"45,151","41,864","47,770","45,124","52,781","50,129","50,272","51,023","50,543","55,898","52,857","46,335","589,747"
Aerovías Caribe S.A  de C.V,"43,733","43,682","53,637","53,973","27,303","54,816","67,954","56,982","44,836","45,036","53,458","63,103","608,513"
Aeroméxico (Aerovías de México),"496,748","463,235","528,515","500,786","557,334","554,130","615,864","607,205","479,304","514,499","525,477","535,098","6,378,195"
Aviacsa (Consorcio Aviaxsa),"153,322","147,251","162,822","173,940","174,265","171,935","205,021","189,219","152,028","182,250","203,258","238,487","2,153,798"
Grupo  Aereo Monterrey,"20,174","21,373","36,788","32,334","34,093","43,409","52,368","58,022","30,264","29,116","35,442","37,663","431,046"
Lineas Aereas Allegro,"27,122","18,409","16,657","32,787","31,441","26,797","41,811","38,303","27,413","29,125","34,304","41,637","365,806"
Lineas Aereas Azteca,"37,607","34,572","40,104","41,472","35,854","40,891","63,228","58,498","40,229","52,711","53,094","57,101","555,361"
Mexicana (Mexicana de Aviación),"355,538","349,962","417,168","401,810","431,702","422,219","491,446","478,697","369,944","393,154","418,047","412,649","4,942,336"
