E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aeroméxico Connect (Aerolitoral),"288,691","283,314","319,943","301,154","273,301","367,932","385,520","360,650","317,306","370,715","353,492","366,632","3,988,650"
Aeroméxico (Aerovias de México),"350,308","331,156","348,927","300,296","257,472","304,377","390,982","372,928","297,550","322,557","312,711","308,740","3,898,004"
Click (Aerovías Caribe),"317,784","313,610","323,600","289,740","187,602","295,966","375,341","363,237","293,253","335,972","331,933","335,234","3,763,272"
Volaris (Concesionaria Vuela Cia de Aviación),"262,013","232,576","272,261","282,551","230,717","237,943","302,830","302,663","222,392","235,103","256,278","295,126","3,132,453"
Interjet (ABC Aerolíneas),"267,878","231,618","279,862","282,931","169,881","234,752","315,961","304,184","214,674","227,603","265,049","311,370","3,105,763"
Mexicana (Mexicana de Aviación),"242,717","222,159","238,033","204,727","129,322","174,071","243,578","229,039","186,246","194,573","207,854","195,703","2,468,022"
Vivaaerobus (Aeroenlaces),"76,800","67,079","82,074","108,057","96,517","136,749","181,436","149,958","111,348","138,165","127,898","147,355","1,423,436"
Aviacsa (Consorcio Aviaxsa),"211,433","203,209","218,702","212,944","149,890","119,381","28,773",0,0,0,0,0,"1,144,332"
Magnicharters (Grupo Aéreo Monterrey),"44,144","30,602","43,481","59,382","45,569","60,484","82,793","67,015","37,513","36,341","33,717","44,335","585,376"
Aeromar,"34,813","40,317","45,657","35,385","34,010","47,687","47,873","45,597","42,337","47,763","51,316","44,159","516,914"
Mexicana Link,0,0,"4,818","13,513","14,796","21,110","40,316","61,854","52,764","65,439","68,323","62,140","405,073"
Aerocalifornia,0,0,0,0,0,0,0,0,0,0,0,0,0
Alma (Aerolineas Mesoamericanas),0,0,0,0,0,0,0,0,0,0,0,0,0
Avolar,0,0,0,0,0,0,0,0,0,0,0,0,0
