E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aeroméxico (Aerovías de México),"427,833","428,738","444,647","451,556","478,995","447,570","556,623","618,712","443,534","482,156","481,395","489,795","5,751,554"
Mexicana (Mexicana de Aviación),"430,610","391,249","425,599","469,492","451,100","422,408","536,393","581,968","361,733","422,123","426,534","439,437","5,358,646"
"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)","29,417","22,540","33,264","38,883","39,115","36,307","69,080","88,622","34,131","96,398","102,953","128,931","719,641"
Aerocalifornia,"46,706","43,378","63,142","47,588","52,314","53,849","57,709","73,256","53,844","64,305","67,982","74,630","698,703"
Aviacsa (Consorcio Aviaxsa),"21,274","21,556","25,940","28,548","25,922","25,439","27,975","30,282","26,112","32,796","30,981","44,530","341,355"
Servicios Aereos Rutas Oriente  (S.A.R.O),"18,166","21,581","26,557","21,793","17,285","25,577","27,505","36,160","22,222","24,206","27,426","33,805","302,283"
Aerovías Caribe S.A  de C.V,"18,049","17,464","18,450","17,286","16,487","16,391","25,746","24,407","17,199","20,444","18,127","28,201","238,251"
Aeromar,"13,189","15,000","18,632","18,607","19,983","19,524","19,557","18,652","18,949","21,539","20,847","18,091","222,570"
Aviación del Noroeste S.A de C.V,"15,343","15,021","14,552","14,932","18,468","9,558","16,707","18,474","17,077","16,475","18,373","22,009","196,989"
Aerocozumel,"14,011","9,837","12,917","14,170","12,643","11,380","12,388","15,669","10,500","11,857","12,876","13,899","152,147"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"11,381","2,637","14,410","7,669","10,848","10,918","11,621","12,976","13,184","12,389","13,776","11,828","133,637"
Aerovías de Poniente S.A de C.V,0,489,"2,731","4,139","5,758","6,343","8,521","8,660","8,477","11,304","11,205","13,474","81,101"
Aero Sudpacifico S.A.,"1,404","2,128","2,641","2,653","2,438","1,305","2,164","2,252","1,977","2,225","2,421","2,404","26,012"
Aeromonterrey,"2,920","3,591","2,946","1,723","1,855","1,806","1,831","1,530",930,"1,815","1,982","1,882","24,811"
Aerolineas Morelos S.A (Aeromorelos),693,"1,382","1,643","1,841","1,937","1,448","2,480","2,599","1,109","1,025","1,472","2,498","20,127"
Transportes Aéreos  Gane S.A  de C.V,"1,609",865,638,617,541,622,386,278,252,550,360,550,"7,268"
Servicio Aéreo Leo López S.A. de C.V,172,362,439,489,463,481,560,549,398,509,472,490,"5,384"
