E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aeroméxico (Aerovías de México),"569,834","564,413","629,393","573,657","613,314","582,518","674,770","675,337","577,813","611,237","619,420","599,263","7,290,969"
Mexicana (Mexicana de Aviación),"417,899","409,033","463,927","414,059","461,341","444,833","504,703","484,081","397,785","431,677","446,832","431,445","5,307,615"
Aerocalifornia,"135,320","117,694","129,823","119,110","120,550","105,661","121,408","121,556","94,144","104,904","116,253","131,247","1,417,670"
Aviacsa (Consorcio Aviaxsa),"93,523","85,159","99,417","104,974","121,242","108,582","141,440","143,899","111,769","118,499","120,857","134,192","1,383,553"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"55,678","53,515","59,177","54,849","62,174","59,692","59,642","69,458","61,772","67,673","65,337","63,206","732,173"
Aeromar,"36,264","39,389","46,771","42,131","44,732","45,579","40,890","42,824","40,853","42,489","42,154","33,175","497,251"
Aerovías Caribe S.A  de C.V,"38,155","37,818","42,351","41,471","38,199","32,506","32,130","31,778","26,787","29,122","37,037","34,143","421,497"
Aerolineas Internacionales,"32,068","28,761","32,604","29,043","32,604","23,920","34,384","36,796","37,464","23,920","41,368","46,838","399,770"
Lineas Aereas Allegro,"11,398","7,088","7,894","9,893","11,529","11,823","16,446","14,829","10,863","10,422","11,699","23,762","147,646"
Aerocozumel,"9,700","10,952","12,889","13,267","10,038","9,764","10,137","9,679","6,300","5,963","6,824","8,283","113,796"
Aero Cuahonte S.A de C.V,"2,986","2,733","3,216","3,072","3,199","2,722","2,828","2,906","2,388","2,769","2,615","2,691","34,125"
Aeroejecutivo S.A de C.V ,"2,911","3,012","2,988","2,073","2,119","2,281","1,397",0,0,0,0,0,"16,781"
