E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aéreo Calafia,"6,327","5,000","5,881","6,171","6,173","5,668","9,782","9,532","7,518","8,037","9,930","14,424","94,443"
Aeromar,"35,673","37,087","41,492","40,128","40,856","41,281","41,078","39,252","36,493","41,435","45,160","43,340","483,275"
Aeroméxico (Aerovías de México),"414,443","394,100","450,515","437,654","503,476","469,561","503,799","472,901","408,481","462,401","485,018","452,921","5,455,270"
Aeroméxico Connect (Aerolitoral),"564,172","533,721","618,045","582,095","595,011","560,182","639,403","614,946","545,465","604,364","613,311","632,086","7,102,801"
Interjet (ABC Aerolíneas),"608,507","582,985","751,439","761,034","776,377","786,704","872,501","819,792","772,378","807,413","795,959","803,676","9,138,765"
Magnicharters (Grupo Aéreo Monterrey),"69,597","48,937","70,055","70,985","100,804","104,949","140,831","136,178","74,691","69,065","69,749","60,867","1,016,708"
Transportes Aéreos Regionales (TAR),"15,632","13,855","18,093","18,488","18,730","18,332","24,621","26,488","22,435","29,611","37,383","46,383","290,051"
Vivaaerobus (Aeroenlaces),"310,806","268,736","326,644","350,921","330,071","327,519","473,018","450,809","343,200","375,886","375,863","427,947","4,361,420"
Volaris (Concesionaria Vuela Cia de Aviación),"686,691","561,261","685,155","720,548","739,457","752,478","967,372","893,403","693,475","769,027","817,935","909,288","9,196,090"
