E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aéreo Calafia,"12,697","10,385","15,121","14,836","16,473","13,610","20,129","17,924","13,332","14,652","14,640","16,500","180,299"
Aeromar,"40,422","43,056","40,045","38,919","42,466","41,412","49,922","42,243","40,683","46,280","50,419","49,993","525,860"
Aeroméxico (Aerovías de México),"386,743","385,680","420,875","435,805","478,999","462,943","507,004","507,446","479,586","495,126","488,635","470,098","5,518,940"
Aeroméxico Connect (Aerolitoral),"574,462","541,131","629,618","626,224","627,584","620,249","722,362","654,263","574,090","635,645","637,291","676,015","7,518,934"
Interjet (ABC Aerolíneas),"671,459","639,721","758,126","716,350","748,776","743,613","844,032","777,543","695,574","765,358","810,748","893,139","9,064,439"
Magnicharters (Grupo Aéreo Monterrey),"56,307","39,542","66,174","53,691","69,450","88,111","135,327","110,414","62,816","69,513","72,595","78,406","902,346"
Transportes Aéreos Regionales (TAR),"40,876","42,185","52,964","49,378","52,396","48,941","61,714","57,630","47,353","53,168","49,688","57,645","613,938"
Vivaaerobus (Aeroenlaces),"369,434","300,028","435,102","395,038","447,809","474,827","697,493","651,743","515,585","538,666","549,545","600,475","5,975,745"
Volaris (Concesionaria Vuela Cia de Aviación),"900,246","783,089","935,350","878,257","964,664","974,432","1,088,651","1,042,027","895,324","953,864","990,679","1,088,551","11,495,134"
