E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
Aeroméxico Connect (Aerolitoral),"327,710","313,865","378,901","346,024","366,800","344,486","388,805","418,806","398,633","441,747","431,834","423,387","4,580,998"
Click (Aerovías Caribe),"304,636","279,145","331,192","309,691","336,228","324,482","377,291","288,805",0,0,0,0,"2,551,470"
Aeroméxico (Aerovías de México),"264,762","266,289","305,523","282,480","306,946","304,378","342,579","376,108","392,051","450,698","458,394","439,580","4,189,788"
Interjet (ABC Aerolíneas),"259,100","215,165","278,355","278,877","283,742","262,167","348,208","362,641","369,107","392,864","432,369","521,509","4,004,104"
Volaris (Concesionaria Vuela Cia de Aviación),"277,442","216,677","272,415","264,258","291,862","282,727","342,644","350,013","313,730","327,752","309,645","373,214","3,622,379"
Mexicana (Mexicana de Aviación),"185,068","159,076","208,963","195,212","192,669","190,260","220,005","125,490",0,0,0,0,"1,476,743"
Vivaaerobus (Aeroenlaces),"125,264","114,937","169,320","162,703","186,067","183,169","258,099","195,782","146,119","203,204","194,341","228,103","2,167,108"
Mexicana Link ,"59,579","65,633","75,626","63,040","69,939","63,492","68,897","50,472",0,0,0,0,"516,678"
Aeromar,"40,551","41,925","52,424","49,412","54,238","53,542","51,317","50,388","39,984","48,520","46,471","41,057","569,829"
Magnicharters (Grupo Aéreo Monterrey),35121,28739,45647,58975,62072,28571,104958,102216,61830,"56,047",65316,"69,298",718790
Aeroméxico Travel,0,0,0,0,0,0,0,0,17458,"37,960",34155,"7,219",96792
